image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
JangiriPonpon,2.0001524724835164e-11,2.877819968664333e-12,0.9999999999473367,0.999999999608781,0.0002212538458981798,1.029937727470885e-05,1.9827162996666734e-10,1.192475122087505e-13,3.23669228271887e-17,2.8573745653825164e-11,1.5308660123795335e-15,9.31119707873259e-18,0.0,-0.5916416814349383,0.0,-0.2202877669081435
JijiBabaFight,4.658527336058072e-12,1.6801476856089027e-14,0.9999999999805214,0.9999999999930381,4.096280830343945e-05,6.302404492435116e-07,4.621079051827383e-11,1.7142585175492848e-14,3.772749567377035e-18,1.6665209453762937e-13,6.481139355571905e-17,5.5024752311776555e-19,0.0,0.0,0.0,0.0
Joouari,1.2103048252740563e-11,5.886953796371359e-12,0.9999999999608851,0.9999999991061175,0.00014134563784019575,1.986535061178558e-05,1.2007838829894376e-10,3.7293880591305844e-14,1.2769331452851638e-16,5.845890215128236e-11,4.556706263915121e-16,7.826167914403958e-17,0.0,-0.596327046521175,0.0,-0.16796998956406495
Jyovolley,4.145795192845386e-12,1.0604221479482259e-14,0.999999999977378,0.9999999999955601,1.69601668800758e-05,4.6993069168760695e-08,4.115120137231223e-11,6.3389343310126014e-15,1.243297029792437e-18,1.052875945087113e-13,6.0478794354693776e-18,4.043692295162986e-20,0.0,0.0,0.0,0.0
KarappoHighschool,8.608372505245789e-13,1.339640886210456e-13,0.9999999999963206,0.999999999980933,1.34945715371581e-05,2.2443019165798518e-07,8.530835810930802e-12,5.972016838616305e-15,1.037697626324717e-18,1.330257051761194e-12,2.6972040003084816e-17,1.0191727470134494e-19,0.0,0.0,0.0,0.0
KimiHaBokuNoTaiyouDa,2.4806557551575438e-11,3.965584343365376e-13,0.9999999999316684,0.9999999999559636,0.00026777674326298003,1.1998537938051692e-05,2.460773793019702e-10,8.918373010062449e-14,7.481633748022969e-17,3.935143448328364e-12,9.399713811627809e-16,1.8220548638343447e-17,0.0,-2.0110681929964476,0.0,-0.39059657767853984
KoukouNoHitotachi,1.3604920675527512e-12,3.971744421964952e-12,0.9999999999956383,0.9999999995194594,2.258707663096491e-05,6.837683762356611e-07,1.3490426495771802e-11,6.7193995918735245e-15,7.404420506109315e-18,3.944135852044061e-11,8.789391001114743e-17,1.4928388457470084e-18,0.0,0.0,0.0,0.0
KuroidoGanka,1.0774277174794072e-11,3.0895576432846467e-11,0.9999999998491257,0.9999999948378393,4.3432020531123216e-05,2.462210830844724e-07,1.0692125045198605e-10,2.4655151306739325e-14,4.544520362265486e-18,3.0681004003111504e-10,6.641537645571895e-17,1.26996054781971e-19,0.0,-0.19009309372974825,0.0,-0.006812706923896572
KyokugenCyclone,1.53327446146531e-10,8.978913082829134e-11,0.9999999988625878,0.9999999902769913,0.0017878651712325304,0.0003384992513286581,1.5207143350671164e-09,6.406631745845209e-13,1.3783835789979962e-15,8.915244816399363e-10,4.2660717286834383e-14,7.861412695711456e-16,0.0,-12.8332365349868,0.0,-5.8133287140676355
LancelotFullThrottle,8.550940649886582e-13,1.4666266617255272e-13,0.999999999994458,0.9999999999699702,4.797279459831862e-06,5.8800727685657786e-08,8.486534350118386e-12,1.6903480879593218e-15,1.1394276032609262e-19,1.4564071903598276e-12,1.162314287975678e-17,2.9319459555865072e-21,0.0,0.0,0.0,0.0
LoveHinavol01,7.966276119148777e-12,1.3064690145037308e-12,0.9999999999465777,0.9999999999405155,6.292739504651863e-05,1.0703369246904788e-05,7.907854626461005e-11,1.0328908051678912e-14,5.071908578644162e-17,1.2973272560308826e-11,1.7458271061459327e-16,2.8879160519872264e-17,0.0,0.0,0.0,0.0
LoveHinavol14,3.6205777335633423e-12,2.2814711717515277e-14,0.9999999999872107,0.9999999999934293,4.5193239011429266e-05,4.1182853592277095e-06,3.591407862844486e-11,1.3538362099283234e-14,5.160655389256712e-18,2.2513234500659472e-13,4.776915043613e-16,1.7851752089618438e-18,0.0,0.0,0.0,0.0
MADSTONE,4.052580034060017e-12,1.9309469462783022e-13,0.999999999976297,0.9999999999813826,3.950578703311361e-05,1.3699589066976011e-06,4.021090533600476e-11,1.1237875704104838e-14,1.0828878072755468e-17,1.917317257631048e-12,6.856580109311396e-17,2.7827753244536915e-18,0.0,0.0,0.0,0.0
MadouTaiga,5.151234895618061e-11,1.2476400869470578e-10,0.9999999997789015,0.9999999894626177,0.0002980749285191442,2.6382158481367304e-05,5.110297114195311e-10,1.7336324014914164e-13,2.1156082316137357e-16,1.2389636439611468e-09,3.971436453272159e-15,7.935534866705799e-17,0.0,-1.7935683372299045,0.0,-0.32776839198053587
MagicStarGakuin,1.0032914852894222e-11,4.5074333292059016e-13,0.9999999999728736,0.9999999999772624,0.00012865142217773225,5.8399898064355414e-06,9.951000941191934e-11,4.112848056155053e-14,2.791430116067404e-17,4.474693997353573e-12,4.667815990166916e-16,8.467211438173207e-18,0.0,0.0,0.0,0.0
MagicianLoad,1.9927640848670866e-12,3.3817493533166834e-13,0.9999999999939616,0.9999999999145459,5.603493511404174e-05,1.1752828516783157e-05,1.976823230039486e-11,6.990075869028826e-15,4.139841396109502e-17,3.357261254955567e-12,2.865521628020507e-16,2.5574674743751315e-17,0.0,0.0,0.0,0.0
